buy_currency,buy_value,sell_currency,sell_value,time_stamp
5,10,1,101,7/1/17 13:33
5,10,7,81,7/1/17 13:33
5,10,8,60,7/1/17 13:33
5,10,9,33,7/1/17 13:33
5,10,3,20,7/1/17 13:33
5,10,12,18,7/1/17 13:33
5,10,11,13,7/1/17 13:33
5,20,4,25,7/1/17 13:33
5,20,4,25,7/1/17 13:33
5,40,4,49,7/1/17 13:33
5,19,4,23,7/1/17 13:33
5,19,4,23,7/1/17 13:33
5,18,4,20,7/1/17 13:33
5,18,4,20,7/1/17 13:33
5,1,502,1,7/1/17 13:33
5,1,4,1,7/1/17 13:33
5,1,310,1,7/1/17 13:33
5,5,2,5,7/1/17 13:33
5,1,16,1,7/1/17 13:33
5,1,10,1,7/1/17 13:33
5,10,4,9,7/1/17 13:33
5,4,4,3,7/1/17 13:33
5,19,14,10,7/1/17 13:33
5,2,163,1,7/1/17 13:33
5,20,13,10,7/1/17 13:33
5,2,426,1,7/1/17 13:33
5,2,4,1,7/1/17 13:33
5,45,15,1,7/1/17 13:33
5,75,6,1,7/1/17 13:33
5,80,6,1,7/1/17 13:33
5,10,1,101,7/1/17 13:36
5,10,7,81,7/1/17 13:36
5,10,8,60,7/1/17 13:36
5,10,9,33,7/1/17 13:36
5,10,3,20,7/1/17 13:36
5,10,12,18,7/1/17 13:36
5,10,11,13,7/1/17 13:36
5,20,4,25,7/1/17 13:36
5,20,4,25,7/1/17 13:36
5,40,4,49,7/1/17 13:36
5,19,4,23,7/1/17 13:36
5,19,4,23,7/1/17 13:36
5,18,4,20,7/1/17 13:36
5,18,4,20,7/1/17 13:36
5,5,2,5,7/1/17 13:36
5,1,310,1,7/1/17 13:36
5,1,4,1,7/1/17 13:36
5,1,10,1,7/1/17 13:36
5,1,16,1,7/1/17 13:36
5,1,502,1,7/1/17 13:36
5,10,4,9,7/1/17 13:36
5,4,4,3,7/1/17 13:36
5,19,14,10,7/1/17 13:36
5,20,13,10,7/1/17 13:36
5,2,426,1,7/1/17 13:36
5,2,163,1,7/1/17 13:36
5,2,4,1,7/1/17 13:36
5,45,15,1,7/1/17 13:36
5,75,6,1,7/1/17 13:36
5,80,6,1,7/1/17 13:36
5,10,1,101,7/1/17 13:40
5,10,7,81,7/1/17 13:40
5,10,8,60,7/1/17 13:40
5,10,9,33,7/1/17 13:40
5,10,3,20,7/1/17 13:40
5,10,12,18,7/1/17 13:40
5,10,11,13,7/1/17 13:40
